titles,mrps,discount_percentages,current_prices,images,asins,categories,descriptions,ratings,domains
BRUTON Exclusive Trendy Sports Running Shoes | Casual Shoe | Sneakers for Men's & Boy's,"₹1,299",-79%,₹279,https://m.media-amazon.com/images/I/41yT5D25evL._SX395_SY395_.jpg,B0B2JLGKPT,"['Shoes & Handbags', ""Men's Running Shoes""]","[""✔ RUNNING SHOES: The BRUTON Men's Running Shoes are designed to provide your feet with the support and comfort they require throughout your workout."", '✔ PERFORMANCE! : Our Footwear Are Made With Good Material And Offers You a Trendy Design With Long Lasting Performance.', '✔PVC OUTSOLE: The PVC outsole enhances shock absorbency and slip resistance, and overall gives you the perfect experience. This is made from pure grade PVC material for a lightweight sole with the function of shock absorbing and cushioning, while the textured outsole provides complete durability.', '✔LIFESTYLE: Sports, Running, Walking, Gym, Casual, Sneakers, Party wear, Yoga Shoes, Hiking & Travelling', '✔SUITABLE FOR: Men, Boys & Girls']",3.0,www.amazon.in
Shocknshop Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED,"₹1,119",-78%,₹249,https://m.media-amazon.com/images/I/514Q-+fQl0L._SY300_SX300_.jpg,B099ZNZJMW,"['Watches', ""Men's Wrist Watches""]","['Watch Movement Type: Quartz , Watch Display Type: Digital & Day and Date', 'Waterproof (3Atm) is convenient for user water splash, rain, water wash, shower and swim. But avoid hot water/steam or diving. Pressing button under water is also not allowed', 'Multi-Functions: Complete Calendar, Chronograph, Week Display, LED Display, Countdown ; Movement: Digital Movement ; Band Material Type: Silica gel', 'Shape of Dial: Round, Dial Diameter: 53mm, Case Thickness: 18mm, Band Width: 21mm, Wristband Length: 240mm Total; 6 Months Warranty Against Manufacturing Defects', 'Band Material Type: Rubber; Warranty Type: Contact Seller Of Record; Bezel Function: No Bezel Available; Dial Window Material Type: Mineral']",3.9,www.amazon.in
"Xivip AW720H Audio Aux Cable,Detachable Gaming Headset Cable Compatible with Alienware AW310H AW510H 988 Alienware Dell Gaming Headset,Inline Mute Switch&Volume Controller(Nylon Braided 4.9ft,Red)",Currently unavailable.,NULL,Currently unavailable.,https://m.media-amazon.com/images/I/51UqnDdXzXL._SY445_SX342_QL70_ML2_.jpg,B0CYZHDT2B,NULL,"['【3.5mm to 3.5mm Jack Aux Cord】This replacement auxiliary Cable can easy to connect your headphone to Speaker,Xbox One,PS4 Controllers,Switch, Mix Amp,or other 3.5mm device.', '【Inline Mute & Volume Control】The 3.5mm auxiliary cable with inline mute and volume control can easy to use in gaming, listening to music and watching movies.', '【Universal Compatibility】This headphone cable is compatible with Alienware AW310H AW510H AW720H AW920H 988 Alienware Dell Gaming Headset,Logitech G633 G933 Gaming Headset.', '【Hi-Fi Sound Quality】This headphone aux cable is polished 24K gold-plated connectors ensure reliability and eliminate signal loss and noise possible, offer clear and stereo sound to your devices.', '【4.9ft Nylon Braided Cable】This red audio cable is 4.9ft.And adopt Nylon material can withstand 10,000+ bending tests.']",5.0,www.amazon.in
John Jacobs | Gunmetal - Grey | Full Rim Rectangular Stylish & Premium Polarized Sunglasses | Polarized and 100% UV Protected | Men & Women | Extra Wide | JJ S15860,"₹6,000",-81%,"₹1,149",https://m.media-amazon.com/images/I/21GYHv7nGML._SX342_SY445_.jpg,B0CJ5HZSR5,"['Clothing & Accessories', ""Women's Sunglasses"", ""Men's Sunglasses""]","['About the Brand:- The John Jacobs collection features some of the most stylish and trendy sunglasses for men and women. Available in a variety of colours and shapes, it ensures you always stand out with your unique style.', 'Frame Pattern:- Featuring Gunmetal Full Rim Rectangular Sunglasses made from Stainless Steel which is lightweight and offers high strength making it the ideal choice for Men & Women', 'Frame Dimension:- Size: Extra Wide | Frame width: 142 mm | Frame Height: 47 mm | Frame Dimensions: (61-13-137) mm', 'Frame Style:- Rectangle style sunglasses are one of the most popular choices among Sunglasses wearers. Primarily suitable for round and oval face shapes, they add an extra punch to your everyday look.', 'Lens Material & Technology:- The collection features polarised lenses that protect your eyes from the sun’s harmful UV rays, reduce glare and enhance visual clarity. They have a scratch coating and block 100% harmful UV rays up to 400 nm and are very lightweight and highly impact resistant.']",4.1,www.amazon.in
